LECROYWR44Xi,13218,Waveform
Segments,1,SegmentSize,1278
Segment,TrigTime,TimeSinceSegment1
#1,15-Jul-2010 14:54:19,0                 
Time,Ampl
0,-158.328
0.07629395,-69.1134
0.1525879,-69.0938
0.2288818,-71.0536
0.3051758,-93.2646
0.3814697,-71.1911
0.4577637,-70.3045
0.5340576,-84.9048
0.6103516,-77.2645
0.6866455,-94.9518
0.7629395,-89.011
0.8392334,-92.798
0.9155273,-87.0635
0.9918213,-84.1115
1.068115,-99.6843
1.144409,-91.6265
1.220703,-88.5346
1.296997,-90.0719
1.373291,-89.7453
1.449585,-82.2868
1.525879,-98.7682
1.602173,-89.1387
1.678467,-99.6401
1.754761,-86.7786
1.831055,-87.2354
1.907349,-95.3865
1.983643,-93.5298
2.059937,-90.0204
2.13623,-108.749
2.212524,-88.4707
2.288818,-83.9298
2.365112,-84.3645
2.441406,-91.1206
2.5177,-102.752
2.593994,-89.7355
2.670288,-92.432
2.746582,-90.0891
2.822876,-85.6636
2.89917,-95.023
2.975464,-89.3941
3.051758,-87.2182
3.128052,-89.0061
3.204346,-92.5426
3.28064,-92.2921
3.356934,-88.8931
3.433228,-86.9874
3.509521,-90.5336
3.585815,-95.023
3.662109,-91.9998
3.738403,-92.5966
3.814697,-91.7739
3.890991,-90.6196
3.967285,-87.9967
4.043579,-96.3246
4.119873,-98.6724
4.196167,-94.9567
4.272461,-93.0239
4.348755,-97.1252
4.425049,-92.2356
4.501343,-90.7792
4.577637,-92.8373
4.653931,-99.1685
4.730225,-88.3995
4.806519,-93.3972
4.882813,-87.7929
4.959106,-93.3481
5.0354,-90.7694
5.111694,-91.7076
5.187988,-89.1805
5.264282,-97.5869
5.340576,-98.5128
5.41687,-90.0105
5.493164,-88.7187
5.569458,-99.1489
5.645752,-85.8699
5.722046,-89.259
5.79834,-86.5355
5.874634,-93.9105
5.950928,-92.0342
6.027222,-84.4259
6.103516,-99.2422
6.17981,-100.91
6.256104,-90.2512
6.332397,-89.9442
6.408691,-91.4448
6.484985,-89.9246
6.561279,-95.7819
6.637573,-87.5768
6.713867,-86.7712
6.790161,-86.1646
6.866455,-88.0729
6.942749,-88.677
7.019043,-87.3263
7.095337,-86.7442
7.171631,-88.537
7.247925,-99.5418
7.324219,-95.3226
7.400513,-93.2818
7.476807,-85.9559
