LECROYWR44Xi,13218,Waveform
Segments,1,SegmentSize,156
Segment,TrigTime,TimeSinceSegment1
#1,19-Jul-2010 13:00:26,0                 
Time,Ampl
0,-117.958
61.0352,-36.0954
122.07,-31.6809
183.105,-42.4635
244.141,-46.8829
305.176,-49.4737
366.211,-51.3562
427.246,-52.6577
488.281,-53.1161
549.316,-54.2804
610.352,-54.9716
671.387,-55.8074
732.422,-56.1874
793.457,-56.6114
854.492,-56.9301
915.527,-57.0428
976.563,-57.5674
1037.6,-57.7438
1098.63,-58.0551
1159.67,-58.1703
1220.7,-57.9595
1281.74,-58.4865
1342.77,-58.6066
1403.81,-58.5625
1464.84,-58.7292
1525.88,-58.842
1586.91,-58.663
1647.95,-59.038
1708.98,-58.8469
1770.02,-58.9988
1831.05,-59.1434
1892.09,-59.1238
1953.13,-59.0846
2014.16,-59.1459
2075.2,-59.3935
2136.23,-59.0356
2197.27,-59.2807
2258.3,-59.315
2319.34,-59.2685
2380.37,-59.315
2441.41,-59.4376
2502.44,-59.4302
2563.48,-59.2537
2624.51,-59.5601
2685.55,-59.4768
2746.58,-59.4498
2807.62,-59.5136
2868.65,-59.6704
2929.69,-59.5087
2990.72,-59.5381
3051.76,-59.4891
3112.79,-59.5846
3173.83,-59.7636
3234.86,-59.4694
3295.9,-59.5111
3356.93,-59.6827
3417.97,-59.9008
3479,-59.6802
3540.04,-59.8959
3601.07,-59.5405
3662.11,-59.744
3723.14,-59.6533
3784.18,-59.6165
3845.21,-59.5773
3906.25,-59.6141
3967.29,-59.8886
4028.32,-59.4204
4089.36,-59.8935
4150.39,-59.7734
4211.43,-59.6606
4272.46,-59.6974
4333.5,-59.7709
4394.53,-59.6263
4455.57,-59.717
4516.6,-59.6974
4577.64,-59.5013
4638.67,-59.8763
4699.71,-59.5552
4760.74,-59.7734
4821.78,-59.8028
4882.81,-59.5577
4943.85,-59.6704
5004.88,-59.6361
5065.92,-59.7268
5126.95,-59.6974
5187.99,-59.7366
5249.02,-59.8102
5310.06,-59.8959
5371.09,-59.6141
5432.13,-59.9205
5493.16,-59.6043
5554.2,-59.8518
5615.23,-59.7146
5676.27,-59.8714
5737.3,-59.744
5798.34,-59.6827
5859.38,-59.641
5920.41,-59.9793
5981.45,-59.994
6042.48,-59.7734
6103.52,-59.8984
6164.55,-59.6557
6225.59,-59.5797
6286.62,-59.8052
6347.66,-59.8518
6408.69,-59.6435
6469.73,-59.8763
6530.76,-59.8126
6591.8,-59.9278
6652.83,-59.6802
6713.87,-59.7881
6774.9,-59.766
6835.94,-59.9131
6896.97,-59.994
6958.01,-59.7219
7019.04,-59.6876
7080.08,-59.842
7141.11,-59.7342
7202.15,-59.7048
7263.18,-59.5994
7324.22,-59.8151
7385.25,-60.0062
7446.29,-59.9057
7507.32,-59.8665
7568.36,-59.8126
7629.39,-59.9303
7690.43,-59.8763
7751.46,-59.8788
7812.5,-59.744
7873.54,-59.8812
7934.57,-59.8028
7995.61,-59.918
8056.64,-59.4008
8117.68,-59.8665
8178.71,-59.6925
8239.75,-59.7415
8300.78,-59.6851
8361.82,-59.6018
8422.85,-59.6925
8483.89,-59.9205
8544.92,-60.0259
8605.96,-59.8052
8666.99,-59.9646
8728.03,-59.842
8789.06,-59.8837
8850.1,-60.0528
8911.13,-59.9768
8972.17,-60.0994
9033.2,-59.8175
9094.24,-59.8052
9155.27,-59.7758
9216.31,-59.9621
9277.34,-59.8077
9338.38,-59.6999
9399.41,-59.9425
9460.45,-59.8567
