LECROYWR44Xi	13218	Waveform
Segments	1	SegmentSize	156
Segment	TrigTime	TimeSinceSegment1
#1	19-Jul-2010 14:43:03	0                 
Time	Ampl
0	-117.958
61.0352	-35.6101
122.07	-31.4211
183.105	-42.135
244.141	-46.677
305.176	-49.0227
366.211	-51.1871
427.246	-52.5793
488.281	-52.7239
549.316	-53.6308
610.352	-54.854
671.387	-55.7609
732.422	-56.1972
793.457	-56.1972
854.492	-56.957
915.527	-57.3198
976.563	-57.2389
1037.6	-58.4253
1098.63	-57.5404
1159.67	-58.3836
1220.7	-58.1017
1281.74	-58.5601
1342.77	-57.9252
1403.81	-58.8542
1464.84	-59.0307
1525.88	-58.5061
1586.91	-57.9301
1647.95	-58.3762
1708.98	-59.8249
1770.02	-59.5552
1831.05	-59.9793
1892.09	-58.9228
1953.13	-58.641
2014.16	-58.788
2075.2	-59.7072
2136.23	-59.7464
2197.27	-58.7243
2258.3	-60.0013
2319.34	-59.2243
2380.37	-59.9499
2441.41	-58.6532
2502.44	-60.6803
2563.48	-59.2856
2624.51	-60.1263
2685.55	-59.1631
2746.58	-59.1655
2807.62	-59.2488
2868.65	-59.3518
2929.69	-59.4376
2990.72	-59.4106
3051.76	-59.4229
3112.79	-60.6068
3173.83	-58.9474
3234.86	-59.8102
3295.9	-60.4082
3356.93	-59.6043
3417.97	-59.7342
3479	-59.7415
3540.04	-60.7759
3601.07	-59.7979
3662.11	-59.4376
3723.14	-59.5038
3784.18	-60.2391
3845.21	-59.6999
3906.25	-60.5136
3967.29	-58.7978
4028.32	-60.369
4089.36	-60.5847
4150.39	-59.9621
4211.43	-60.1043
4272.46	-60.7906
4333.5	-59.9425
4394.53	-60.1607
4455.57	-60.0871
4516.6	-60.4205
4577.64	-61.0553
4638.67	-59.2537
4699.71	-59.5552
4760.74	-59.6312
4821.78	-59.5797
4882.81	-59.5062
4943.85	-59.9842
5004.88	-59.9425
5065.92	-59.641
5126.95	-60.1484
5187.99	-58.8052
5249.02	-60.6117
5310.06	-60.2268
5371.09	-59.3788
5432.13	-58.6508
5493.16	-60.8347
5554.2	-60.0528
5615.23	-59.8249
5676.27	-60.9769
5737.3	-60.7636
5798.34	-59.7709
5859.38	-60.4033
5920.41	-60.0675
5981.45	-59.5797
6042.48	-59.6974
6103.52	-60.4989
6164.55	-59.5895
6225.59	-59.6655
6286.62	-60.5381
6347.66	-59.7097
6408.69	-60.2979
6469.73	-59.4719
6530.76	-60.6215
6591.8	-59.0258
6652.83	-60.9058
6713.87	-59.3616
6774.9	-60.3298
6835.94	-59.9033
6896.97	-59.2758
6958.01	-60.0675
7019.04	-60.7685
7080.08	-60.1999
7141.11	-60.2489
7202.15	-59.8371
7263.18	-60.7514
7324.22	-59.5699
7385.25	-60.4793
7446.29	-59.7097
7507.32	-59.3003
7568.36	-59.364
7629.39	-60.4867
7690.43	-60.2661
7751.46	-60.0822
7812.5	-60.57
7873.54	-60.8494
7934.57	-59.9842
7995.61	-58.9375
8056.64	-59.869
8117.68	-59.342
8178.71	-60.6141
8239.75	-59.6165
8300.78	-60.8617
8361.82	-59.9646
8422.85	-59.5895
8483.89	-60.4401
8544.92	-59.9131
8605.96	-60.8592
8666.99	-60.1067
8728.03	-60.342
8789.06	-60.1362
8850.1	-60.4965
8911.13	-60.1852
8972.17	-59.8567
9033.2	-60.1092
9094.24	-60.494
9155.27	-60.3788
9216.31	-60.0945
9277.34	-59.7905
9338.38	-60.1067
9399.41	-60.2416
9460.45	-59.092
